grande_area,area,sub_area,espec
ENGENHARIAS,Eletrônica Industrial\, Sistemas e Controles Eletrônicos,Eletrônica Industrial\, Sistemas e Controles Eletrônicos,
ENGENHARIAS,Telecomunicações,Telecomunicações,Sistemas de Telecomunicações
ENGENHARIAS,Sistemas Elétricos de Potência,Sistemas Elétricos de Potência,
ENGENHARIAS,Sistemas Elétricos de Potência,Sistemas Elétricos de Potência,Estabilidade de Sistemas de Energia Elétrica
ENGENHARIAS,,,
ENGENHARIAS,Circuitos Elétricos\, Magnéticos e Eletrônicos,Circuitos Elétricos\, Magnéticos e Eletrônicos,Circuitos Eletrônicos
ENGENHARIAS,Telecomunicações,Telecomunicações,Sistemas de Telecomunicações
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Sistemas de Informação
ENGENHARIAS,Circuitos Elétricos\, Magnéticos e Eletrônicos,Circuitos Elétricos\, Magnéticos e Eletrônicos,Circuitos Eletrônicos
ENGENHARIAS,Telecomunicações,Telecomunicações,Sistemas de Telecomunicações
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Sistemas de Informação
ENGENHARIAS,Telecomunicações,Telecomunicações,Teoria Eletromagnetica\, Microondas\, Propagação de Ondas\, Antenas
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Linguagens de Programação
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Computação Paralela
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Inteligência Computacional
CIENCIAS_EXATAS_E_DA_TERRA,Matemática da Computação,Matemática da Computação,Modelos Analíticos e de Simulação
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Inteligência Computacional
CIENCIAS_EXATAS_E_DA_TERRA,Matemática da Computação,Matemática da Computação,Modelos Analíticos e de Simulação
ENGENHARIAS,Telecomunicações,Telecomunicações,
ENGENHARIAS,Construção Civil,Construção Civil,
ENGENHARIAS,Gerência de Produção,Gerência de Produção,Planejamento\, Projeto e Controle de Sistemas de Produção
CIENCIAS_SOCIAIS_APLICADAS,Administração de Empresas,Administração de Empresas,Administração da Produção
ENGENHARIAS,Construção Civil,Construção Civil,Processos Construtivos
CIENCIAS_SOCIAIS_APLICADAS,Administração de Empresas,Administração de Empresas,Administração da Produção
CIENCIAS_SOCIAIS_APLICADAS,Administração de Empresas,Administração de Empresas,Administração de Recursos Humanos
ENGENHARIAS,Recursos Hídricos,Recursos Hídricos,
ENGENHARIAS,Recursos Hídricos,Recursos Hídricos,Planejamento Integrado dos Recursos Hídricos
ENGENHARIAS,Saneamento Básico,Saneamento Básico,Drenagem Urbana de Águas Pluviais
ENGENHARIAS,Planejamento Regional\, Patrimônio e Paisagem,Planejamento Regional\, Patrimônio e Paisagem,
ENGENHARIAS,Recursos Hídricos,Recursos Hídricos,Planejamento Integrado dos Recursos Hídricos
CIENCIAS_SOCIAIS_APLICADAS,Métodos e Técnicas do Planejamento Urbano e Regional,Métodos e Técnicas do Planejamento Urbano e Regional,
ENGENHARIAS,Planejamento Regional\, Patrimônio e Paisagem,Planejamento Regional\, Patrimônio e Paisagem,
CIENCIAS_SOCIAIS_APLICADAS,Métodos e Técnicas do Planejamento Urbano e Regional,Métodos e Técnicas do Planejamento Urbano e Regional,Técnicas de Planejamento e Projeto Urbanos e Regionais
CIENCIAS_SOCIAIS_APLICADAS,Métodos e Técnicas do Planejamento Urbano e Regional,Métodos e Técnicas do Planejamento Urbano e Regional,Técnicas de Análise e Avaliação Urbana e Regional
ENGENHARIAS,Planejamento Regional\, Patrimônio e Paisagem,Planejamento Regional\, Patrimônio e Paisagem,
ENGENHARIAS,Recursos Hídricos,Recursos Hídricos,Planejamento Integrado dos Recursos Hídricos
CIENCIAS_SOCIAIS_APLICADAS,Métodos e Técnicas do Planejamento Urbano e Regional,Métodos e Técnicas do Planejamento Urbano e Regional,
ENGENHARIAS,Planejamento Regional\, Patrimônio e Paisagem,Planejamento Regional\, Patrimônio e Paisagem,
CIENCIAS_SOCIAIS_APLICADAS,Métodos e Técnicas do Planejamento Urbano e Regional,Métodos e Técnicas do Planejamento Urbano e Regional,Técnicas de Planejamento e Projeto Urbanos e Regionais
CIENCIAS_SOCIAIS_APLICADAS,Métodos e Técnicas do Planejamento Urbano e Regional,Métodos e Técnicas do Planejamento Urbano e Regional,Técnicas de Análise e Avaliação Urbana e Regional
